Customer_ID,Customer_Age,Customer_Type,Product_Name,Product_Category,Review_Text,Rating,Review_Date,Verified_Purchase,Sentiment
CUST00001,28,Loyal,Coffee Maker,Home & Kitchen,Good product and the delivery was quick. Order 6191.,4.0,2026-01-08,Yes,Positive
CUST00002,39,New,Power Bank,Electronics,The quality is acceptable for everyday use. Order 7949. Really!!,4.0,2026-07-15,Yes,Neutral
CUST00003,61,Loyal,Self Help Book,Books,VERY HAPPY WITH MY PURCHASE. HIGHLY RECOMMENDED!,4.0,2026-05-20,Yes,Positive
CUST00004,26,Returning,Novel,Books,"It works properly, but nothing special. Really!!",4.0,2025-12-06,Yes,Neutral
CUST00005,57,Returning,Shampoo,Beauty,"Product is decent, but there is room for improvement. Really!!",4.0,2026-01-25,Yes,Neutral
CUST00006,31,Loyal,Self Help Book,Books,"It works properly, but nothing special.",4.0,2025-09-28,Yes,Neutral
CUST00007,41,Returning,Coffee,Grocery,Excellent product! Very good quality and fast delivery.,4.0,2025-07-07,Yes,Positive
CUST00008,34,Loyal,Dry Fruits,Grocery,Great experience. The item arrived on time. Order 9006.,4.0,2025-10-16,Yes,Positive
CUST00009,40,Returning,Power Bank,Electronics,I am disappointed with this purchase. Order 7278.,2.0,2025-04-09,Yes,Negative
CUST00010,43,Loyal,Bluetooth Speaker,Electronics,Amazing quality and value for money. Really!!,4.0,2026-02-02,Yes,Positive
CUST00011,49,Returning,Coffee,Grocery,GREAT EXPERIENCE. THE ITEM ARRIVED ON TIME. ORDER 8035. REALLY!!,4.0,2026-02-11,Yes,Positive
CUST00012,23,Returning,Cookbook,Books,Good product and the delivery was quick. Order 4157.,4.0,2025-11-27,Yes,Positive
CUST00013,30,New,Programming Book,Books,Excellent product! Very good quality and fast delivery. Really!!,4.0,2025-12-25,Yes,Positive
CUST00014,29,Returning,Bluetooth Speaker,Electronics,"The product is comfortable, useful, and well made. Order 1663.",5.0,2026-01-21,Yes,Positive
CUST00015,49,New,Coffee,Grocery,Excellent product! Very good quality and fast delivery.,4.0,2026-02-07,Yes,Positive
CUST00016,34,Loyal,Water Bottle,Home & Kitchen,I really liked this product. It works perfectly.,5.0,2025-10-07,Yes,Positive
CUST00017,23,New,Moisturizer,Beauty,Bad experience. I would not recommend this product. Really!!,1.0,2026-10-22,Yes,Negative
CUST00018,50,Loyal,Shampoo,Beauty,I really liked this product. It works perfectly.,4.0,2026-10-03,Yes,Positive
CUST00019,43,New,Hair Dryer,Beauty,Average quality. It is fine for the price.,4.0,2026-07-26,Yes,Neutral
CUST00020,52,Loyal,Power Bank,Electronics,Bad experience. I would not recommend this product.,1.0,2025-07-27,No,Negative
CUST00021,37,Returning,Programming Book,Books,Very poor quality. The product stopped working quickly. Really!!,2.0,2025-04-22,Yes,Negative
CUST00022,58,New,Coffee Maker,Home & Kitchen,"It works properly, but nothing special.",4.0,2026-02-02,Yes,Neutral
CUST00023,39,Returning,Water Bottle,Home & Kitchen,THE ITEM ARRIVED ON TIME AND WAS AS DESCRIBED.,4.0,2025-02-07,No,Neutral
